LAD20NM,Group Name
Northampton,"['Industrial units' 'Mining and quarrying facilities'
 'Shop until you drop' 'Healthcare and public administration'
 'Manufacturing, energy and utilities' 'Large scale education'
 'Public administration and security' 'Science and business parks'
 'Business parks' 'Regional business centres'
 'Multiethnic urban high streets' 'Administrative centres '
 'Eat, drink and be merry' 'Metro suburban distribution industries'
 'Big city life' 'Primarily residential suburbs'
 'Teachers and carers in metro suburbs' 'Non-metropolitan suburban areas'
 'Self-employed tradespeople in multicultural metro suburbs'
 'Professional home-workers in outer suburbs']"
Northumberland,"['Town fringe countryside ' 'Manufacturing, energy and utilities'
 'Market squares' 'Healthcare and public administration'
 'Low density wholesale and retail' 'Traditional high streets'
 'Mining and quarrying facilities' 'Public administration and security'
 'Business parks' 'Rural with mining or quarrying'
 'Accessible countryside' 'Eat, drink and be merry'
 'Traditional countryside' 'Non-metropolitan suburban areas'
 'Primarily residential suburbs' 'Large scale education']"
Norwich,"['Town fringe countryside ' 'Mining and quarrying facilities'
 'Manufacturing, energy and utilities' 'Industrial units'
 'Public administration and security' 'Traditional high streets'
 'Business parks' 'Regional business centres' 'Eat, drink and be merry'
 'Market squares' 'Healthcare and public administration'
 'Shop until you drop' 'Large scale education' 'Big city life'
 'Low density wholesale and retail' 'Science and business parks'
 'Primarily residential suburbs' 'Non-metropolitan suburban areas'
 'Rural with mining or quarrying' 'Teachers and carers in metro suburbs'
 'Professional home-workers in outer suburbs']"
Nottingham,"['Large scale education' 'Healthcare and public administration'
 'Administrative centres ' 'Industrial units'
 'Metro suburban distribution industries'
 'Manufacturing, energy and utilities' 'Business parks'
 'Public administration and security' 'Science and business parks'
 'Shop until you drop' 'Mining and quarrying facilities'
 'Traditional high streets' 'Multiethnic urban high streets'
 'Regional business centres' 'Low density wholesale and retail'
 'Big city life' 'Eat, drink and be merry'
 'Teachers and carers in metro suburbs' 'Non-metropolitan suburban areas'
 'Primarily residential suburbs'
 'Self-employed tradespeople in multicultural metro suburbs'
 'Professional home-workers in outer suburbs'
 'Independent professional metro services']"
Nuneaton and Bedworth,"['Multiethnic urban high streets' 'Traditional high streets'
 'Shop until you drop' 'Market squares'
 'Healthcare and public administration'
 'Public administration and security' 'Low density wholesale and retail'
 'Industrial units' 'Business parks' 'Manufacturing, energy and utilities'
 'Mining and quarrying facilities' 'Large scale education'
 'Traditional countryside' 'Primarily residential suburbs'
 'Town fringe countryside ' 'Non-metropolitan suburban areas'
 'Professional home-workers in outer suburbs'
 'Rural with mining or quarrying' 'Metro suburban distribution industries']"
Oadby and Wigston,"['Multiethnic urban high streets' 'Industrial units'
 'Healthcare and public administration' 'Science and business parks'
 'Teachers and carers in metro suburbs'
 'Metro suburban distribution industries' 'Business parks'
 'Non-metropolitan suburban areas' 'Primarily residential suburbs'
 'Traditional countryside' 'Professional home-workers in outer suburbs']"
Oldham,"['Business parks' 'Manufacturing, energy and utilities' 'Industrial units'
 'Multiethnic urban high streets' 'Low density wholesale and retail'
 'Shop until you drop' 'Healthcare and public administration'
 'Public administration and security' 'Large scale education'
 'Non-metropolitan suburban areas' 'Traditional high streets'
 'Science and business parks' 'Eat, drink and be merry'
 'Primarily residential suburbs' 'Town fringe countryside '
 'Traditional countryside' 'Metro suburban distribution industries'
 'Accessible countryside' 'Rural with mining or quarrying'
 'Professional home-workers in outer suburbs'
 'Mining and quarrying facilities' 'Market squares'
 'Self-employed tradespeople in multicultural metro suburbs'
 'Teachers and carers in metro suburbs']"
Oxford,"['Industrial units' 'Multiethnic urban high streets'
 'Large scale education' 'Administrative centres ' 'Big city life'
 'Shop until you drop' 'Eat, drink and be merry'
 'Healthcare and public administration' 'Science and business parks'
 'Regional business centres' 'Business parks' 'Global business'
 'Teachers and carers in metro suburbs'
 'Metro suburban distribution industries'
 'Public administration and security'
 'Professional home-workers in outer suburbs' 'Accessible countryside'
 'Independent professional metro services'
 'Self-employed tradespeople in multicultural metro suburbs']"
Pendle,"['Multiethnic urban high streets' 'Healthcare and public administration'
 'Business parks' 'Public administration and security' 'Industrial units'
 'Low density wholesale and retail' 'Manufacturing, energy and utilities'
 'Rural with mining or quarrying' 'Non-metropolitan suburban areas'
 'Town fringe countryside ' 'Traditional countryside' 'Market squares'
 'Primarily residential suburbs' 'Large scale education'
 'Accessible countryside' 'Metro suburban distribution industries']"
Peterborough,"['Science and business parks' 'Shop until you drop'
 'Regional business centres' 'Multiethnic urban high streets'
 'Public administration and security'
 'Healthcare and public administration' 'Big city life'
 'Eat, drink and be merry' 'Industrial units'
 'Manufacturing, energy and utilities' 'Mining and quarrying facilities'
 'Business parks' 'Town fringe countryside ' 'Large scale education'
 'Metro suburban distribution industries' 'Accessible countryside'
 'Rural with mining or quarrying' 'Primarily residential suburbs'
 'Non-metropolitan suburban areas' 'Traditional countryside'
 'Self-employed tradespeople in multicultural metro suburbs'
 'Teachers and carers in metro suburbs'
 'Professional home-workers in outer suburbs']"
Plymouth,"['Public administration and security' 'Eat, drink and be merry'
 'Market squares' 'Traditional high streets' 'Large scale education'
 'Manufacturing, energy and utilities' 'Business parks'
 'Low density wholesale and retail' 'Mining and quarrying facilities'
 'Rural with mining or quarrying' 'Regional business centres'
 'Shop until you drop' 'Healthcare and public administration'
 'Non-metropolitan suburban areas' 'Primarily residential suburbs'
 'Town fringe countryside ' 'Teachers and carers in metro suburbs'
 'Professional home-workers in outer suburbs' 'Traditional countryside']"
Portsmouth,"['Shop until you drop' 'Public administration and security'
 'Business parks' 'Manufacturing, energy and utilities'
 'Administrative centres ' 'Traditional high streets'
 'Large scale education' 'Healthcare and public administration'
 'Market squares' 'Eat, drink and be merry' 'Science and business parks'
 'Low density wholesale and retail' 'Industrial units'
 'Multiethnic urban high streets' 'Primarily residential suburbs'
 'Non-metropolitan suburban areas' 'Mining and quarrying facilities'
 'Accessible countryside' 'Professional home-workers in outer suburbs'
 'Self-employed tradespeople in multicultural metro suburbs'
 'Metro suburban distribution industries'
 'Teachers and carers in metro suburbs']"
Preston,"['Large scale education' 'Healthcare and public administration'
 'Business parks' 'Mining and quarrying facilities' 'Industrial units'
 'Manufacturing, energy and utilities'
 'Public administration and security' 'Multiethnic urban high streets'
 'Regional business centres' 'Traditional high streets'
 'Shop until you drop' 'Eat, drink and be merry'
 'Town fringe countryside ' 'Traditional countryside'
 'Accessible countryside' 'Rural with mining or quarrying'
 'Professional home-workers in outer suburbs'
 'Primarily residential suburbs' 'Teachers and carers in metro suburbs'
 'Metro suburban distribution industries'
 'Non-metropolitan suburban areas' 'Science and business parks']"
Reading,"['Industrial units' 'Science and business parks' 'Eat, drink and be merry'
 'Regional business centres' 'Big city life' 'Administrative centres '
 'Healthcare and public administration' 'Multiethnic urban high streets'
 'Large scale education' 'Global business' 'Shop until you drop'
 'Public administration and security'
 'Metro suburban distribution industries' 'Business parks'
 'Professional home-workers in outer suburbs'
 'Teachers and carers in metro suburbs' 'Primarily residential suburbs'
 'Independent professional metro services'
 'Self-employed tradespeople in multicultural metro suburbs']"
Redbridge,"['Healthcare and public administration' 'Shop until you drop'
 'Administrative centres ' 'Big city life' 'Industrial units'
 'Science and business parks' 'Multiethnic urban high streets'
 'Teachers and carers in metro suburbs'
 'Metro suburban distribution industries'
 'Professional home-workers in outer suburbs'
 'Independent professional metro services'
 'Self-employed tradespeople in multicultural metro suburbs']"
Redcar and Cleveland,"['Public administration and security' 'Traditional high streets'
 'Mining and quarrying facilities' 'Market squares'
 'Low density wholesale and retail' 'Manufacturing, energy and utilities'
 'Town fringe countryside ' 'Business parks' 'Large scale education'
 'Industrial units' 'Non-metropolitan suburban areas'
 'Rural with mining or quarrying' 'Traditional countryside'
 'Primarily residential suburbs' 'Healthcare and public administration']"
Redditch,"['Shop until you drop' 'Healthcare and public administration'
 'Public administration and security' 'Market squares'
 'Traditional high streets' 'Regional business centres' 'Industrial units'
 'Business parks' 'Science and business parks' 'Large scale education'
 'Manufacturing, energy and utilities' 'Mining and quarrying facilities'
 'Low density wholesale and retail' 'Primarily residential suburbs'
 'Non-metropolitan suburban areas' 'Teachers and carers in metro suburbs'
 'Metro suburban distribution industries' 'Multiethnic urban high streets'
 'Traditional countryside' 'Professional home-workers in outer suburbs'
 'Accessible countryside']"
Reigate and Banstead,"['Healthcare and public administration' 'Eat, drink and be merry'
 'Multiethnic urban high streets' 'Administrative centres '
 'Shop until you drop' 'Regional business centres' 'Business parks'
 'Metro suburban distribution industries' 'Global business'
 'Science and business parks' 'Public administration and security'
 'Industrial units' 'Primarily residential suburbs'
 'Professional home-workers in outer suburbs'
 'Teachers and carers in metro suburbs' 'Accessible countryside'
 'Self-employed tradespeople in multicultural metro suburbs'
 'Traditional countryside' 'Large scale education'
 'Independent professional metro services'
 'Mining and quarrying facilities' 'Rural with mining or quarrying'
 'Non-metropolitan suburban areas']"
Ribble Valley,"['Business parks' 'Traditional high streets' 'Market squares'
 'Public administration and security'
 'Manufacturing, energy and utilities' 'Industrial units'
 'Rural with mining or quarrying' 'Accessible countryside'
 'Traditional countryside' 'Large scale education'
 'Mining and quarrying facilities' 'Town fringe countryside '
 'Non-metropolitan suburban areas' 'Low density wholesale and retail'
 'Primarily residential suburbs' 'Healthcare and public administration']"
Richmond upon Thames,"['Administrative centres ' 'Big city life' 'Science and business parks'
 'Metro suburban distribution industries' 'Industrial units'
 'Large scale education' 'Independent professional metro services'
 'Global business' 'Shop until you drop'
 'Professional home-workers in outer suburbs'
 'Self-employed tradespeople in multicultural metro suburbs'
 'Teachers and carers in metro suburbs' 'Primarily residential suburbs']"
Richmondshire,"['Low density wholesale and retail' 'Public administration and security'
 'Market squares' 'Manufacturing, energy and utilities'
 'Accessible countryside' 'Rural with mining or quarrying'
 'Traditional countryside' 'Non-metropolitan suburban areas'
 'Town fringe countryside ' 'Mining and quarrying facilities'
 'Large scale education']"
Rochdale,"['Science and business parks' 'Industrial units'
 'Metro suburban distribution industries'
 'Healthcare and public administration' 'Business parks'
 'Multiethnic urban high streets' 'Eat, drink and be merry'
 'Shop until you drop' 'Public administration and security'
 'Large scale education' 'Low density wholesale and retail'
 'Manufacturing, energy and utilities' 'Market squares'
 'Traditional high streets' 'Non-metropolitan suburban areas'
 'Primarily residential suburbs' 'Rural with mining or quarrying'
 'Traditional countryside' 'Accessible countryside'
 'Professional home-workers in outer suburbs' 'Town fringe countryside '
 'Teachers and carers in metro suburbs' 'Mining and quarrying facilities'
 'Self-employed tradespeople in multicultural metro suburbs']"
Rochford,"['Town fringe countryside ' 'Mining and quarrying facilities'
 'Market squares' 'Public administration and security'
 'Regional business centres' 'Healthcare and public administration'
 'Traditional high streets' 'Traditional countryside'
 'Primarily residential suburbs' 'Rural with mining or quarrying'
 'Non-metropolitan suburban areas' 'Accessible countryside'
 'Manufacturing, energy and utilities' 'Multiethnic urban high streets'
 'Business parks']"
Rossendale,"['Industrial units' 'Non-metropolitan suburban areas'
 'Public administration and security' 'Traditional high streets'
 'Market squares' 'Mining and quarrying facilities'
 'Manufacturing, energy and utilities' 'Business parks'
 'Primarily residential suburbs' 'Rural with mining or quarrying'
 'Traditional countryside' 'Town fringe countryside '
 'Accessible countryside' 'Large scale education']"
Rother,"['Public administration and security' 'Accessible countryside'
 'Market squares' 'Traditional high streets'
 'Multiethnic urban high streets' 'Traditional countryside'
 'Town fringe countryside ' 'Rural with mining or quarrying'
 'Non-metropolitan suburban areas' 'Primarily residential suburbs'
 'Large scale education' 'Healthcare and public administration'
 'Low density wholesale and retail'
 'Professional home-workers in outer suburbs'
 'Manufacturing, energy and utilities']"
Rotherham,"['Mining and quarrying facilities' 'Healthcare and public administration'
 'Manufacturing, energy and utilities' 'Business parks' 'Industrial units'
 'Metro suburban distribution industries'
 'Low density wholesale and retail' 'Market squares'
 'Public administration and security' 'Traditional high streets'
 'Non-metropolitan suburban areas' 'Primarily residential suburbs'
 'Large scale education' 'Town fringe countryside '
 'Traditional countryside' 'Rural with mining or quarrying'
 'Teachers and carers in metro suburbs'
 'Professional home-workers in outer suburbs' 'Accessible countryside']"
Rugby,"['Business parks' 'Industrial units' 'Market squares'
 'Mining and quarrying facilities' 'Eat, drink and be merry'
 'Healthcare and public administration' 'Multiethnic urban high streets'
 'Teachers and carers in metro suburbs' 'Accessible countryside'
 'Science and business parks' 'Manufacturing, energy and utilities'
 'Public administration and security' 'Shop until you drop'
 'Traditional high streets' 'Large scale education'
 'Rural with mining or quarrying' 'Traditional countryside'
 'Self-employed tradespeople in multicultural metro suburbs'
 'Primarily residential suburbs' 'Metro suburban distribution industries'
 'Non-metropolitan suburban areas'
 'Professional home-workers in outer suburbs']"
Runnymede,"['Science and business parks' 'Public administration and security'
 'Multiethnic urban high streets'
 'Professional home-workers in outer suburbs' 'Industrial units'
 'Big city life' 'Eat, drink and be merry' 'Large scale education'
 'Healthcare and public administration' 'Administrative centres '
 'Business parks' 'Teachers and carers in metro suburbs'
 'Primarily residential suburbs' 'Metro suburban distribution industries'
 'Independent professional metro services'
 'Rural with mining or quarrying' 'Non-metropolitan suburban areas'
 'Accessible countryside' 'Traditional countryside']"
Rushcliffe,"['Market squares' 'Mining and quarrying facilities'
 'Accessible countryside' 'Healthcare and public administration'
 'Large scale education' 'Shop until you drop'
 'Science and business parks' 'Non-metropolitan suburban areas'
 'Business parks' 'Eat, drink and be merry'
 'Public administration and security' 'Traditional countryside'
 'Rural with mining or quarrying' 'Primarily residential suburbs'
 'Professional home-workers in outer suburbs'
 'Teachers and carers in metro suburbs' 'Low density wholesale and retail'
 'Town fringe countryside ']"
Rushmoor,"['Business parks' 'Manufacturing, energy and utilities'
 'Science and business parks' 'Low density wholesale and retail'
 'Regional business centres' 'Shop until you drop'
 'Public administration and security' 'Industrial units'
 'Large scale education' 'Healthcare and public administration'
 'Eat, drink and be merry' 'Metro suburban distribution industries'
 'Primarily residential suburbs'
 'Professional home-workers in outer suburbs' 'Accessible countryside'
 'Multiethnic urban high streets' 'Teachers and carers in metro suburbs'
 'Self-employed tradespeople in multicultural metro suburbs'
 'Non-metropolitan suburban areas']"
Rutland,"['Large scale education' 'Market squares'
 'Healthcare and public administration'
 'Manufacturing, energy and utilities' 'Town fringe countryside '
 'Public administration and security' 'Accessible countryside'
 'Rural with mining or quarrying' 'Traditional countryside'
 'Primarily residential suburbs' 'Business parks']"
Ryedale,"['Manufacturing, energy and utilities' 'Mining and quarrying facilities'
 'Market squares' 'Traditional high streets'
 'Low density wholesale and retail' 'Town fringe countryside '
 'Public administration and security' 'Rural with mining or quarrying'
 'Accessible countryside' 'Traditional countryside'
 'Non-metropolitan suburban areas']"
Salford,"['Multiethnic urban high streets' 'Industrial units'
 'Administrative centres ' 'Business parks'
 'Mining and quarrying facilities'
 'Metro suburban distribution industries'
 'Manufacturing, energy and utilities' 'Market squares'
 'Healthcare and public administration' 'Shop until you drop'
 'Traditional high streets' 'Low density wholesale and retail'
 'Public administration and security' 'Science and business parks'
 'Large scale education' 'Regional business centres'
 'Professional home-workers in outer suburbs' 'Big city life'
 'Global business' 'Non-metropolitan suburban areas'
 'Primarily residential suburbs' 'Eat, drink and be merry'
 'Traditional countryside' 'Teachers and carers in metro suburbs'
 'Rural with mining or quarrying' 'Accessible countryside'
 'Self-employed tradespeople in multicultural metro suburbs']"
Sandwell,"['Multiethnic urban high streets' 'Industrial units' 'Business parks'
 'Manufacturing, energy and utilities' 'Low density wholesale and retail'
 'Shop until you drop' 'Healthcare and public administration'
 'Science and business parks' 'Mining and quarrying facilities'
 'Metro suburban distribution industries' 'Regional business centres'
 'Administrative centres ' 'Non-metropolitan suburban areas'
 'Large scale education'
 'Self-employed tradespeople in multicultural metro suburbs'
 'Teachers and carers in metro suburbs'
 'Professional home-workers in outer suburbs'
 'Primarily residential suburbs']"
Scarborough,"['Eat, drink and be merry' 'Low density wholesale and retail'
 'Public administration and security' 'Traditional high streets'
 'Market squares' 'Manufacturing, energy and utilities'
 'Mining and quarrying facilities' 'Town fringe countryside '
 'Large scale education' 'Rural with mining or quarrying'
 'Non-metropolitan suburban areas' 'Traditional countryside'
 'Primarily residential suburbs' 'Healthcare and public administration'
 'Teachers and carers in metro suburbs']"
Sedgemoor,"['Traditional countryside' 'Accessible countryside'
 'Manufacturing, energy and utilities' 'Low density wholesale and retail'
 'Healthcare and public administration' 'Mining and quarrying facilities'
 'Public administration and security' 'Market squares'
 'Traditional high streets' 'Rural with mining or quarrying'
 'Non-metropolitan suburban areas' 'Town fringe countryside '
 'Primarily residential suburbs' 'Large scale education']"
Sefton,"['Healthcare and public administration'
 'Public administration and security' 'Low density wholesale and retail'
 'Eat, drink and be merry' 'Traditional high streets' 'Market squares'
 'Large scale education' 'Town fringe countryside ' 'Business parks'
 'Non-metropolitan suburban areas' 'Manufacturing, energy and utilities'
 'Industrial units' 'Mining and quarrying facilities'
 'Primarily residential suburbs' 'Traditional countryside'
 'Teachers and carers in metro suburbs' 'Rural with mining or quarrying']"
Selby,"['Mining and quarrying facilities' 'Multiethnic urban high streets'
 'Public administration and security'
 'Manufacturing, energy and utilities' 'Market squares'
 'Traditional high streets' 'Business parks'
 'Low density wholesale and retail' 'Non-metropolitan suburban areas'
 'Town fringe countryside ' 'Traditional countryside'
 'Rural with mining or quarrying' 'Accessible countryside']"
Sevenoaks,"['Primarily residential suburbs' 'Rural with mining or quarrying'
 'Business parks' 'Accessible countryside'
 'Mining and quarrying facilities'
 'Metro suburban distribution industries' 'Regional business centres'
 'Public administration and security' 'Eat, drink and be merry'
 'Low density wholesale and retail' 'Multiethnic urban high streets'
 'Industrial units' 'Traditional countryside'
 'Non-metropolitan suburban areas'
 'Professional home-workers in outer suburbs' 'Town fringe countryside '
 'Large scale education' 'Healthcare and public administration'
 'Science and business parks' 'Big city life' 'Traditional high streets']"
Sheffield,"['Multiethnic urban high streets' 'Shop until you drop'
 'Eat, drink and be merry' 'Business parks'
 'Manufacturing, energy and utilities'
 'Healthcare and public administration' 'Regional business centres'
 'Administrative centres ' 'Large scale education' 'Industrial units'
 'Mining and quarrying facilities' 'Science and business parks'
 'Metro suburban distribution industries'
 'Public administration and security' 'Low density wholesale and retail'
 'Traditional high streets' 'Big city life' 'Town fringe countryside '
 'Non-metropolitan suburban areas' 'Rural with mining or quarrying'
 'Primarily residential suburbs' 'Market squares'
 'Traditional countryside' 'Teachers and carers in metro suburbs'
 'Self-employed tradespeople in multicultural metro suburbs'
 'Professional home-workers in outer suburbs' 'Accessible countryside']"
Shropshire,"['Manufacturing, energy and utilities' 'Non-metropolitan suburban areas'
 'Low density wholesale and retail' 'Market squares'
 'Traditional countryside' 'Accessible countryside'
 'Town fringe countryside ' 'Traditional high streets'
 'Rural with mining or quarrying' 'Large scale education'
 'Public administration and security' 'Mining and quarrying facilities'
 'Business parks' 'Healthcare and public administration'
 'Eat, drink and be merry' 'Industrial units'
 'Primarily residential suburbs']"
Slough,"['Teachers and carers in metro suburbs' 'Multiethnic urban high streets'
 'Administrative centres ' 'Science and business parks' 'Industrial units'
 'Regional business centres' 'Business parks'
 'Metro suburban distribution industries' 'Big city life'
 'Global business' 'Shop until you drop'
 'Self-employed tradespeople in multicultural metro suburbs'
 'Independent professional metro services'
 'Professional home-workers in outer suburbs']"
Solihull,"['Science and business parks' 'Big city life' 'Industrial units'
 'Business parks' 'Shop until you drop' 'Multiethnic urban high streets'
 'Regional business centres' 'Eat, drink and be merry'
 'Rural with mining or quarrying' 'Public administration and security'
 'Healthcare and public administration' 'Large scale education'
 'Teachers and carers in metro suburbs'
 'Metro suburban distribution industries'
 'Mining and quarrying facilities' 'Primarily residential suburbs'
 'Non-metropolitan suburban areas'
 'Self-employed tradespeople in multicultural metro suburbs'
 'Professional home-workers in outer suburbs' 'Accessible countryside'
 'Traditional countryside']"
Somerset West and Taunton,"['Town fringe countryside ' 'Business parks'
 'Manufacturing, energy and utilities'
 'Public administration and security' 'Large scale education'
 'Traditional high streets' 'Healthcare and public administration'
 'Low density wholesale and retail' 'Eat, drink and be merry'
 'Mining and quarrying facilities' 'Market squares'
 'Traditional countryside' 'Non-metropolitan suburban areas'
 'Accessible countryside' 'Rural with mining or quarrying'
 'Primarily residential suburbs']"
South Cambridgeshire,"['Low density wholesale and retail' 'Business parks'
 'Manufacturing, energy and utilities'
 'Healthcare and public administration' 'Science and business parks'
 'Regional business centres' 'Public administration and security'
 'Large scale education' 'Accessible countryside'
 'Mining and quarrying facilities' 'Administrative centres '
 'Traditional countryside' 'Non-metropolitan suburban areas'
 'Primarily residential suburbs'
 'Professional home-workers in outer suburbs'
 'Rural with mining or quarrying']"
South Derbyshire,"['Large scale education' 'Manufacturing, energy and utilities'
 'Industrial units' 'Healthcare and public administration'
 'Mining and quarrying facilities' 'Multiethnic urban high streets'
 'Low density wholesale and retail' 'Public administration and security'
 'Traditional high streets' 'Rural with mining or quarrying'
 'Accessible countryside' 'Non-metropolitan suburban areas'
 'Professional home-workers in outer suburbs' 'Town fringe countryside '
 'Traditional countryside' 'Market squares'
 'Primarily residential suburbs']"
South Gloucestershire,"['Shop until you drop' 'Manufacturing, energy and utilities'
 'Low density wholesale and retail' 'Eat, drink and be merry'
 'Multiethnic urban high streets' 'Accessible countryside'
 'Business parks' 'Rural with mining or quarrying'
 'Science and business parks' 'Regional business centres'
 'Mining and quarrying facilities' 'Market squares'
 'Public administration and security' 'Industrial units'
 'Traditional high streets' 'Large scale education' 'Big city life'
 'Healthcare and public administration'
 'Professional home-workers in outer suburbs'
 'Non-metropolitan suburban areas' 'Traditional countryside'
 'Town fringe countryside ' 'Primarily residential suburbs'
 'Metro suburban distribution industries'
 'Teachers and carers in metro suburbs']"
South Hams,"['Manufacturing, energy and utilities' 'Business parks'
 'Town fringe countryside ' 'Large scale education' 'Market squares'
 'Mining and quarrying facilities' 'Low density wholesale and retail'
 'Non-metropolitan suburban areas' 'Accessible countryside'
 'Rural with mining or quarrying' 'Public administration and security'
 'Traditional countryside' 'Primarily residential suburbs']"
South Holland,"['Accessible countryside' 'Market squares' 'Large scale education'
 'Manufacturing, energy and utilities'
 'Healthcare and public administration'
 'Public administration and security' 'Traditional high streets'
 'Traditional countryside' 'Town fringe countryside ' 'Industrial units'
 'Non-metropolitan suburban areas' 'Low density wholesale and retail'
 'Rural with mining or quarrying']"
South Kesteven,"['Rural with mining or quarrying' 'Mining and quarrying facilities'
 'Industrial units' 'Market squares'
 'Healthcare and public administration' 'Business parks'
 'Eat, drink and be merry' 'Traditional high streets'
 'Public administration and security'
 'Manufacturing, energy and utilities' 'Low density wholesale and retail'
 'Multiethnic urban high streets' 'Accessible countryside'
 'Large scale education' 'Traditional countryside'
 'Town fringe countryside ' 'Non-metropolitan suburban areas'
 'Primarily residential suburbs' 'Metro suburban distribution industries']"
South Lakeland,"['Rural with mining or quarrying' 'Town fringe countryside '
 'Large scale education' 'Low density wholesale and retail'
 'Traditional high streets' 'Market squares'
 'Public administration and security'
 'Manufacturing, energy and utilities' 'Mining and quarrying facilities'
 'Accessible countryside' 'Eat, drink and be merry'
 'Non-metropolitan suburban areas' 'Traditional countryside'
 'Primarily residential suburbs' 'Healthcare and public administration']"
South Norfolk,"['Healthcare and public administration' 'Administrative centres '
 'Market squares' 'Traditional high streets'
 'Low density wholesale and retail' 'Manufacturing, energy and utilities'
 'Business parks' 'Mining and quarrying facilities'
 'Public administration and security' 'Rural with mining or quarrying'
 'Traditional countryside' 'Primarily residential suburbs'
 'Non-metropolitan suburban areas' 'Accessible countryside'
 'Town fringe countryside ']"
South Northamptonshire,"['Industrial units' 'Business parks' 'Manufacturing, energy and utilities'
 'Healthcare and public administration'
 'Public administration and security' 'Market squares'
 'Town fringe countryside ' 'Rural with mining or quarrying'
 'Accessible countryside' 'Traditional countryside'
 'Large scale education' 'Non-metropolitan suburban areas'
 'Professional home-workers in outer suburbs'
 'Metro suburban distribution industries' 'Primarily residential suburbs'
 'Self-employed tradespeople in multicultural metro suburbs']"
South Oxfordshire,"['Business parks' 'Science and business parks'
 'Manufacturing, energy and utilities' 'Shop until you drop'
 'Multiethnic urban high streets' 'Large scale education'
 'Metro suburban distribution industries' 'Eat, drink and be merry'
 'Big city life' 'Regional business centres'
 'Public administration and security' 'Accessible countryside'
 'Market squares' 'Low density wholesale and retail'
 'Mining and quarrying facilities' 'Primarily residential suburbs'
 'Rural with mining or quarrying' 'Traditional countryside'
 'Professional home-workers in outer suburbs'
 'Non-metropolitan suburban areas'
 'Self-employed tradespeople in multicultural metro suburbs'
 'Healthcare and public administration']"
South Ribble,"['Manufacturing, energy and utilities' 'Mining and quarrying facilities'
 'Public administration and security' 'Industrial units'
 'Low density wholesale and retail' 'Business parks'
 'Large scale education' 'Market squares'
 'Healthcare and public administration' 'Accessible countryside'
 'Primarily residential suburbs' 'Non-metropolitan suburban areas'
 'Town fringe countryside ' 'Traditional countryside'
 'Teachers and carers in metro suburbs' 'Multiethnic urban high streets']"
South Somerset,"['Public administration and security' 'Mining and quarrying facilities'
 'Manufacturing, energy and utilities' 'Market squares'
 'Non-metropolitan suburban areas' 'Large scale education'
 'Healthcare and public administration' 'Traditional high streets'
 'Low density wholesale and retail' 'Eat, drink and be merry'
 'Town fringe countryside ' 'Rural with mining or quarrying'
 'Accessible countryside' 'Traditional countryside'
 'Primarily residential suburbs' 'Business parks']"
South Staffordshire,"['Industrial units' 'Accessible countryside' 'Business parks'
 'Healthcare and public administration' 'Town fringe countryside '
 'Manufacturing, energy and utilities' 'Multiethnic urban high streets'
 'Market squares' 'Traditional countryside'
 'Rural with mining or quarrying' 'Non-metropolitan suburban areas'
 'Primarily residential suburbs']"
South Tyneside,"['Public administration and security' 'Mining and quarrying facilities'
 'Manufacturing, energy and utilities' 'Business parks'
 'Healthcare and public administration' 'Low density wholesale and retail'
 'Traditional high streets' 'Non-metropolitan suburban areas'
 'Market squares' 'Multiethnic urban high streets'
 'Primarily residential suburbs' 'Large scale education'
 'Rural with mining or quarrying']"
Southampton,"['Eat, drink and be merry' 'Multiethnic urban high streets'
 'Shop until you drop' 'Regional business centres'
 'Metro suburban distribution industries'
 'Healthcare and public administration'
 'Public administration and security' 'Industrial units'
 'Manufacturing, energy and utilities' 'Business parks'
 'Mining and quarrying facilities' 'Low density wholesale and retail'
 'Science and business parks' 'Market squares' 'Large scale education'
 'Big city life' 'Teachers and carers in metro suburbs'
 'Professional home-workers in outer suburbs'
 'Primarily residential suburbs' 'Non-metropolitan suburban areas'
 'Self-employed tradespeople in multicultural metro suburbs']"
Southend-on-Sea,"['Business parks' 'Market squares' 'Shop until you drop'
 'Eat, drink and be merry' 'Public administration and security'
 'Traditional high streets' 'Multiethnic urban high streets'
 'Healthcare and public administration'
 'Manufacturing, energy and utilities' 'Industrial units'
 'Large scale education' 'Regional business centres'
 'Primarily residential suburbs' 'Low density wholesale and retail'
 'Non-metropolitan suburban areas' 'Traditional countryside'
 'Teachers and carers in metro suburbs'
 'Self-employed tradespeople in multicultural metro suburbs'
 'Metro suburban distribution industries'
 'Professional home-workers in outer suburbs'
 'Rural with mining or quarrying']"
Southwark,"['Administrative centres ' 'Metro suburban distribution industries'
 'Big city life' 'Global business' 'Science and business parks'
 'Shop until you drop' 'Industrial units' 'Multiethnic urban high streets'
 'Independent professional metro services'
 'Teachers and carers in metro suburbs'
 'Self-employed tradespeople in multicultural metro suburbs']"
Spelthorne,"['Science and business parks' 'Multiethnic urban high streets'
 'Regional business centres' 'Metro suburban distribution industries'
 'Shop until you drop' 'Big city life' 'Eat, drink and be merry'
 'Business parks' 'Large scale education' 'Industrial units'
 'Self-employed tradespeople in multicultural metro suburbs'
 'Teachers and carers in metro suburbs'
 'Professional home-workers in outer suburbs'
 'Public administration and security' 'Primarily residential suburbs'
 'Traditional countryside' 'Non-metropolitan suburban areas'
 'Rural with mining or quarrying' 'Accessible countryside']"
